,id,cidade,estado,data,precipitacao
111,2110,São Paulo,SP,2021-04-22,1.6
112,2120,São Paulo,SP,2021-04-23,0.0
113,2130,São Paulo,SP,2021-04-24,0.0
114,2140,São Paulo,SP,2021-04-25,0.0
115,2150,São Paulo,SP,2021-04-26,1.0
116,2160,São Paulo,SP,2021-04-27,0.0
117,2170,São Paulo,SP,2021-04-28,0.4
118,2180,São Paulo,SP,2021-04-29,0.6
119,2190,São Paulo,SP,2021-04-30,0.2
120,2200,São Paulo,SP,2021-05-01,0.0
121,2210,São Paulo,SP,2021-05-02,0.0
122,2220,São Paulo,SP,2021-05-03,0.0
123,2230,São Paulo,SP,2021-05-04,0.2
124,2240,São Paulo,SP,2021-05-05,0.0
125,2250,São Paulo,SP,2021-05-06,0.0
126,2260,São Paulo,SP,2021-05-07,0.0
127,2270,São Paulo,SP,2021-05-08,0.0
128,2280,São Paulo,SP,2021-05-09,0.0
129,2290,São Paulo,SP,2021-05-10,0.0
130,2300,São Paulo,SP,2021-05-11,0.2
131,2310,São Paulo,SP,2021-05-12,22.6
132,2320,São Paulo,SP,2021-05-13,8.0
133,2330,São Paulo,SP,2021-05-14,0.0
134,2340,São Paulo,SP,2021-05-15,0.0
135,2350,São Paulo,SP,2021-05-16,0.0
136,2360,São Paulo,SP,2021-05-17,0.0
137,2370,São Paulo,SP,2021-05-18,0.0
138,2380,São Paulo,SP,2021-05-19,0.0
139,2390,São Paulo,SP,2021-05-20,0.0
140,2400,São Paulo,SP,2021-05-21,0.2
141,2410,São Paulo,SP,2021-05-22,6.8
142,2420,São Paulo,SP,2021-05-23,0.2
143,2430,São Paulo,SP,2021-05-24,0.0
144,2440,São Paulo,SP,2021-05-25,0.0
145,2450,São Paulo,SP,2021-05-26,0.0
146,2460,São Paulo,SP,2021-05-27,0.0
147,2470,São Paulo,SP,2021-05-28,0.0
148,2480,Porto Alegre,RS,2021-01-01,0.0
149,2490,Porto Alegre,RS,2021-01-02,0.0
150,2500,Porto Alegre,RS,2021-01-03,0.0
151,2510,Porto Alegre,RS,2021-01-04,0.0
152,2520,Porto Alegre,RS,2021-01-05,4.4
153,2530,Porto Alegre,RS,2021-01-06,10.8
154,2540,Porto Alegre,RS,2021-01-07,0.0
155,2550,Porto Alegre,RS,2021-01-08,0.0
156,2560,Porto Alegre,RS,2021-01-09,0.0
157,2570,Porto Alegre,RS,2021-01-10,0.0
158,2580,Porto Alegre,RS,2021-01-11,0.0
159,2590,Porto Alegre,RS,2021-01-12,13.0
160,2600,Porto Alegre,RS,2021-01-13,0.0
161,2610,Porto Alegre,RS,2021-01-14,0.0
162,2620,Porto Alegre,RS,2021-01-15,0.0
163,2630,Porto Alegre,RS,2021-01-16,24.4
164,2640,Porto Alegre,RS,2021-01-17,4.2
165,2650,Porto Alegre,RS,2021-01-18,0.0
166,2660,Porto Alegre,RS,2021-01-19,0.0
167,2670,Porto Alegre,RS,2021-01-20,0.0
168,2680,Porto Alegre,RS,2021-01-21,0.0
